City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Tilichiki,RU,2022-07-12 20:38:40,60.4667,166.1,59.9,70,7,4.97
68,Lamu,KE,2022-07-12 20:38:41,-2.2717,40.902,73.62,82,82,16.04
69,Mogadishu,SO,2022-07-12 20:38:41,2.0371,45.3438,76.14,83,46,20.94
70,Monrovia,LR,2022-07-12 20:33:42,6.3005,-10.7969,75.87,87,69,8.55
71,Kapaa,US,2022-07-12 20:38:17,22.0752,-159.319,82.38,77,100,13.8
72,Chuy,UY,2022-07-12 20:38:42,-33.6971,-53.4616,44.82,75,43,5.73
73,Avarua,CK,2022-07-12 20:38:42,-21.2078,-159.775,77.05,61,75,6.91
74,Clyde River,CA,2022-07-12 20:37:16,70.4692,-68.5914,44.83,70,20,9.22
75,Nikolskoye,RU,2022-07-12 20:38:42,59.7035,30.7861,67.89,98,78,5.12
76,Abu Kamal,SY,2022-07-12 20:38:43,34.4506,40.9171,91.54,27,0,11.12
77,Pisco,PE,2022-07-12 20:38:43,-13.7,-76.2167,64.45,72,20,10.36
78,Tiksi,RU,2022-07-12 20:38:43,71.6872,128.8694,35.55,96,100,9.62
79,Tamiahua,MX,2022-07-12 20:38:44,21.2667,-97.45,88.57,66,100,11.99
80,Takestan,IR,2022-07-12 20:38:44,36.0696,49.6959,73.53,51,1,8.68
81,Bukama,CD,2022-07-12 20:38:44,-9.2,25.85,70.63,37,3,2.13
82,Esperance,AU,2022-07-12 20:38:45,-33.8667,121.9,51.17,55,0,7.34
83,Aviles,ES,2022-07-12 20:38:45,43.5547,-5.9248,76.39,74,0,5.75
84,Butaritari,KI,2022-07-12 20:38:45,3.0707,172.7902,81.77,78,92,18.81
85,Yellowknife,CA,2022-07-12 20:38:27,62.456,-114.3525,72.12,60,75,17.27
86,Port Lincoln,AU,2022-07-12 20:36:12,-34.7333,135.8667,54.28,62,100,9.86
87,Yei,SS,2022-07-12 20:38:46,4.095,30.6779,69.89,72,72,1.59
88,Buraydah,SA,2022-07-12 20:33:53,26.326,43.975,91.85,12,99,8.86
89,Mar Del Plata,AR,2022-07-12 20:35:02,-38.0023,-57.5575,51.94,60,40,16.11
90,Grindavik,IS,2022-07-12 20:34:54,63.8424,-22.4338,52.27,71,75,14.97
91,Ormara,PK,2022-07-12 20:38:47,25.2088,64.6357,83.48,85,92,15.37
92,Argentan,FR,2022-07-12 20:38:47,48.75,-0.0167,71.06,49,36,4.18
93,Myaundzha,RU,2022-07-12 20:38:48,63.0494,147.1858,70.41,66,91,12.93
94,Mindelo,CV,2022-07-12 20:38:48,16.8901,-24.9804,78.35,65,20,14.97
95,Ribeira Grande,PT,2022-07-12 20:37:47,38.5167,-28.7,77.4,61,20,12.66
96,Ola,RU,2022-07-12 20:39:49,59.5833,151.2833,56.62,97,100,4.16
97,Akdepe,TM,2022-07-12 20:39:49,42.0551,59.3788,80.69,41,0,8.72
98,Severo-Kurilsk,RU,2022-07-12 20:38:58,50.6789,156.125,54.81,91,62,1.41
99,Yerbogachen,RU,2022-07-12 20:39:49,61.2767,108.0108,43.07,79,42,1.99
100,Northam,GB,2022-07-12 20:39:50,51.0333,-4.2167,68.61,68,100,4.83
101,Sao Jose Da Coroa Grande,BR,2022-07-12 20:39:50,-8.8978,-35.1478,75.9,83,92,5.73
102,Vardo,NO,2022-07-12 20:39:51,70.3705,31.1107,57.18,77,0,10.36
103,Katsuura,JP,2022-07-12 20:39:51,35.1333,140.3,73.42,94,98,5.61
104,Waipawa,NZ,2022-07-12 20:39:51,-41.4122,175.5153,52.5,77,2,25.5
105,Inhambane,MZ,2022-07-12 20:39:52,-23.865,35.3833,68.31,75,3,6.87
106,Hilo,US,2022-07-12 20:39:52,19.7297,-155.09,86.29,72,75,10.36
107,Sisimiut,GL,2022-07-12 20:38:36,66.9395,-53.6735,42.57,86,71,5.59
108,Vestmanna,FO,2022-07-12 20:39:53,62.1564,-7.1664,49.12,93,100,12.66
109,San Quintin,MX,2022-07-12 20:39:53,30.4833,-115.95,71.4,67,98,15.61
110,Faanui,PF,2022-07-12 20:39:53,-16.4833,-151.75,77.97,73,0,9.26
111,Marzuq,YE,2022-07-12 20:39:54,14.4,46.4667,76.32,41,99,6.22
112,Palmer,US,2022-07-12 20:39:54,42.1584,-72.3287,87.58,62,40,23.02
113,Balikpapan,ID,2022-07-12 20:39:54,-1.2675,116.8289,77.43,89,97,5.59
114,Nianzishan,CN,2022-07-12 20:39:55,47.5167,122.8833,67.41,92,100,2.1
115,Banda Aceh,ID,2022-07-12 20:39:55,5.5577,95.3222,79.86,77,100,12.48
116,Longyearbyen,SJ,2022-07-12 20:39:35,78.2186,15.6401,46.24,93,75,2.3
117,Ihosy,MG,2022-07-12 20:39:56,-22.4,46.1167,57.58,95,36,7.29
118,Reitz,ZA,2022-07-12 20:39:56,-27.8014,28.4273,45.1,35,0,2.44
119,Luba,GQ,2022-07-12 20:39:56,3.4568,8.5547,75.09,85,88,8.43
120,Provideniya,RU,2022-07-12 20:39:57,64.3833,-173.3,51.91,93,75,4.47
121,Tibu,CO,2022-07-12 20:39:57,8.639,-72.7358,82.29,79,72,4.12
122,Nyuksenitsa,RU,2022-07-12 20:39:57,60.4128,44.2397,63.36,92,100,4.97
123,Arraial Do Cabo,BR,2022-07-12 20:37:08,-22.9661,-42.0278,80.56,69,0,6.91
124,Kralendijk,BQ,2022-07-12 20:39:58,12.15,-68.2667,85.98,74,75,19.57
125,Wonthaggi,AU,2022-07-12 20:39:58,-38.6044,145.5913,46.81,83,32,12.1
126,Panaba,MX,2022-07-12 20:39:58,21.2833,-88.2667,92.21,43,100,11.14
127,Saldanha,ZA,2022-07-12 20:39:59,-33.0117,17.9442,48.25,78,0,6.17
128,Raga,SS,2022-07-12 20:39:59,8.4596,25.678,69.8,96,100,3.02
129,Castro,BR,2022-07-12 20:39:59,-24.7911,-50.0119,58.78,68,2,2.35
130,Bathsheba,BB,2022-07-12 20:40:00,13.2167,-59.5167,86.61,86,20,20.71
131,Puerto Ayora,EC,2022-07-12 20:40:00,-0.7393,-90.3518,80.56,86,24,8.01
132,Qaanaaq,GL,2022-07-12 20:37:08,77.484,-69.3632,42.53,68,69,5.23
133,Corinth,GR,2022-07-12 20:40:01,37.9407,22.9573,79.41,62,0,2.37
134,Nemuro,JP,2022-07-12 20:37:21,43.3236,145.575,62.19,98,100,4.74
135,Mizdah,LY,2022-07-12 20:40:01,31.4451,12.9801,74.71,51,0,21.32
136,Waddan,LY,2022-07-12 20:40:02,29.1614,16.139,78.55,48,0,18.23
137,Vilyuysk,RU,2022-07-12 20:40:02,63.7553,121.6247,64.29,78,74,3.76
138,Kavieng,PG,2022-07-12 20:38:21,-2.5744,150.7967,81.84,76,44,10.78
139,Pevek,RU,2022-07-12 20:40:03,69.7008,170.3133,36.75,97,100,19.69
140,Coquimbo,CL,2022-07-12 20:41:03,-29.9533,-71.3436,62.33,55,0,11.5
141,Bilma,NE,2022-07-12 20:41:04,18.6853,12.9164,97.77,12,84,21.34
142,Tuktoyaktuk,CA,2022-07-12 20:41:04,69.4541,-133.0374,42.8,100,100,9.22
143,Dikson,RU,2022-07-12 20:39:34,73.5069,80.5464,38.77,86,13,2.37
144,East London,ZA,2022-07-12 20:39:48,-33.0153,27.9116,58.91,72,0,8.9
145,Swift Current,CA,2022-07-12 20:41:05,50.2834,-107.8014,83.21,42,0,11.5
146,Aliaga,PH,2022-07-12 20:41:05,15.5167,120.8667,80.1,90,100,1.45
147,Chara,RU,2022-07-12 20:41:05,56.9064,118.2631,61.41,77,100,0.74
148,Constitucion,CL,2022-07-12 20:41:06,-35.3333,-72.4167,52.05,71,100,3.27
149,Dalbandin,PK,2022-07-12 20:41:06,28.8947,64.4101,88.95,39,45,8.01
150,Olinda,BR,2022-07-12 20:41:06,-8.0089,-34.8553,78.53,78,40,13.8
151,Alofi,NU,2022-07-12 20:41:07,-19.0595,-169.9187,76.89,73,40,13.8
152,Itubera,BR,2022-07-12 20:41:07,-13.7322,-39.1492,70.68,85,47,4.27
153,Kodiak,US,2022-07-12 20:41:07,57.79,-152.4072,56.71,88,100,4.61
154,Alyangula,AU,2022-07-12 20:37:25,-13.8483,136.4192,66.97,53,10,15.84
155,Petropavl,KZ,2022-07-12 20:41:08,54.8753,69.1628,59.95,86,7,6.78
156,Lima,PE,2022-07-12 20:40:26,-12.0432,-77.0282,62.85,68,40,8.05
157,Alta Floresta,BR,2022-07-12 20:41:09,-9.8756,-56.0861,93.02,33,40,4.61
158,Gari,RU,2022-07-12 20:41:09,59.4307,62.3497,62.1,72,6,6.78
159,Kushmurun,KZ,2022-07-12 20:41:09,52.4503,64.6311,68.41,76,20,7.65
160,Kahului,US,2022-07-12 20:41:10,20.8947,-156.47,83.97,69,100,20.71
161,Tromso,NO,2022-07-12 20:41:10,69.6496,18.957,62.62,59,0,10.36
162,Potsdam,DE,2022-07-12 20:41:10,52.3989,13.0657,72.09,49,43,4.34
163,Shenzhen,CN,2022-07-12 20:41:11,22.5455,114.0683,85.21,91,17,3.42
164,Tezu,IN,2022-07-12 20:41:11,27.9167,96.1667,76.8,92,99,4.05
165,Georgetown,MY,2022-07-12 20:41:11,5.4112,100.3354,76.95,94,40,2.3
166,Strezhevoy,RU,2022-07-12 20:41:12,60.7333,77.5889,55.17,60,100,6.35
167,Maralal,KE,2022-07-12 20:41:12,1.0968,36.698,57.16,73,67,6.33
